Model			ADC		ID		SPS		Gain	Sensitivity Mode
DAQ24USB-4CH	CS5523	ND123	12.5	2		Low
DAQ24USB-4CH	CS5523	ND124	15.0	2		Low
DAQ24USB-4CH	CS5523	ND125	25.0	2		Low
DAQ24USB-4CH	CS5523	ND126	30.0	2		Low
DAQ24USB-4CH	CS5523	ND127	50.0	2		Low
DAQ24USB-4CH	CS5523	ND128	60.0	2		Low
DAQ24USB-4CH	CS5523	ND129	100		2		Low
DAQ24USB-4CH	CS5523	ND130	120		2		Low
DAQ24USB-4CH	CS5523	ND131	200		2		Low
DAQ24USB-4CH	CS5523	ND132	240		2		Low
DAQ24USB-4CH	CS5523	ND133	400		2		Low
DAQ24USB-4CH	CS5523	ND134	480		2		Low
DAQ24USB-4CH	CS5523	ND135	800		2		Low
DAQ24USB-4CH	CS5523	ND136	960		2		Low
DAQ24USB-4CH	CS5523	ND137	1600	2		Low
DAQ24USB-4CH	CS5523	ND138	1920	2		Low
DAQ24USB-4CH	CS5523	ND139	3200	2		Low
DAQ24USB-4CH	CS5523	ND140	3840	2		Low

DAQ24USB-4CH	CS5523	ND141	6.25	4		Low
DAQ24USB-4CH	CS5523	ND142	7.50	4		Low
DAQ24USB-4CH	CS5523	ND143	12.5	4		Low
DAQ24USB-4CH	CS5523	ND144	15.0	4		Low
DAQ24USB-4CH	CS5523	ND145	25.0	4		Low
DAQ24USB-4CH	CS5523	ND146	30.0	4		Low
DAQ24USB-4CH	CS5523	ND147	50.0	4		Low
DAQ24USB-4CH	CS5523	ND148	60.0	4		Low
DAQ24USB-4CH	CS5523	ND149	100		4		Low
DAQ24USB-4CH	CS5523	ND150	120		4		Low
DAQ24USB-4CH	CS5523	ND151	200		4		Low
DAQ24USB-4CH	CS5523	ND152	240		4		Low
DAQ24USB-4CH	CS5523	ND153	400		4		Low
DAQ24USB-4CH	CS5523	ND154	480		4		Low
DAQ24USB-4CH	CS5523	ND155	800		4		Low
DAQ24USB-4CH	CS5523	ND156	960		4		Low
DAQ24USB-4CH	CS5523	ND157	1600	4		Low
DAQ24USB-4CH	CS5523	ND158	1920	4		Low
DAQ24USB-4CH	CS5523	ND159	3200	4		Low
DAQ24USB-4CH	CS5523	ND160	3840	4		Low

DAQ24USB-4CH	CS5523	ND161	6.25	8		Low
DAQ24USB-4CH	CS5523	ND162	7.50	8		Low
DAQ24USB-4CH	CS5523	ND163	12.5	8		Low
DAQ24USB-4CH	CS5523	ND164	15.0	8		Low
DAQ24USB-4CH	CS5523	ND165	25.0	8		Low
DAQ24USB-4CH	CS5523	ND166	30.0	8		Low
DAQ24USB-4CH	CS5523	ND167	50.0	8		Low
DAQ24USB-4CH	CS5523	ND168	60.0	8		Low
DAQ24USB-4CH	CS5523	ND169	100		8		Low
DAQ24USB-4CH	CS5523	ND170	120		8		Low
DAQ24USB-4CH	CS5523	ND171	200		8		Low
DAQ24USB-4CH	CS5523	ND172	240		8		Low
DAQ24USB-4CH	CS5523	ND173	400		8		Low
DAQ24USB-4CH	CS5523	ND174	480		8		Low
DAQ24USB-4CH	CS5523	ND175	800		8		Low
DAQ24USB-4CH	CS5523	ND176	960		8		Low
DAQ24USB-4CH	CS5523	ND177	1600	8		Low
DAQ24USB-4CH	CS5523	ND178	1920	8		Low
DAQ24USB-4CH	CS5523	ND179	3200	8		Low
DAQ24USB-4CH	CS5523	ND180	3840	8		Low

DAQ24USB-4CH	CS5523	ND181	6.25	16		Low
DAQ24USB-4CH	CS5523	ND182	7.50	16		Low
DAQ24USB-4CH	CS5523	ND183	12.5	16		Low
DAQ24USB-4CH	CS5523	ND184	15.0	16		Low
DAQ24USB-4CH	CS5523	ND185	25.0	16		Low
DAQ24USB-4CH	CS5523	ND186	30.0	16		Low
DAQ24USB-4CH	CS5523	ND187	50.0	16		Low
DAQ24USB-4CH	CS5523	ND188	60.0	16		Low
DAQ24USB-4CH	CS5523	ND189	100		16		Low
DAQ24USB-4CH	CS5523	ND190	120		16		Low
DAQ24USB-4CH	CS5523	ND191	200		16		Low
DAQ24USB-4CH	CS5523	ND192	240		16		Low
DAQ24USB-4CH	CS5523	ND193	400		16		Low
DAQ24USB-4CH	CS5523	ND194	480		16		Low
DAQ24USB-4CH	CS5523	ND195	800		16		Low
DAQ24USB-4CH	CS5523	ND196	960		16		Low
DAQ24USB-4CH	CS5523	ND197	1600	16		Low
DAQ24USB-4CH	CS5523	ND198	1920	16		Low
DAQ24USB-4CH	CS5523	ND199	3200	16		Low
DAQ24USB-4CH	CS5523	ND200	3840	16		Low

DAQ24USB-4CH	CS5523	ND201	6.25	32		Low
DAQ24USB-4CH	CS5523	ND202	7.50	32		Low
DAQ24USB-4CH	CS5523	ND203	12.5	32		Low
DAQ24USB-4CH	CS5523	ND204	15.0	32		Low
DAQ24USB-4CH	CS5523	ND205	25.0	32		Low
DAQ24USB-4CH	CS5523	ND206	30.0	32		Low
DAQ24USB-4CH	CS5523	ND207	50.0	32		Low
DAQ24USB-4CH	CS5523	ND208	60.0	32		Low
DAQ24USB-4CH	CS5523	ND209	100		32		Low
DAQ24USB-4CH	CS5523	ND210	120		32		Low
DAQ24USB-4CH	CS5523	ND211	200		32		Low
DAQ24USB-4CH	CS5523	ND212	240		32		Low
DAQ24USB-4CH	CS5523	ND213	400		32		Low
DAQ24USB-4CH	CS5523	ND214	480		32		Low
DAQ24USB-4CH	CS5523	ND215	800		32		Low
DAQ24USB-4CH	CS5523	ND216	960		32		Low
DAQ24USB-4CH	CS5523	ND217	1600	32		Low
DAQ24USB-4CH	CS5523	ND218	1920	32		Low
DAQ24USB-4CH	CS5523	ND219	3200	32		Low
DAQ24USB-4CH	CS5523	ND220	3840	32		Low

DAQ24USB-4CH	CS5523	ND221	6.25	64		Low
DAQ24USB-4CH	CS5523	ND222	7.50	64		Low
DAQ24USB-4CH	CS5523	ND223	12.5	64		Low
DAQ24USB-4CH	CS5523	ND224	15.0	64		Low
DAQ24USB-4CH	CS5523	ND225	25.0	64		Low
DAQ24USB-4CH	CS5523	ND226	30.0	64		Low
DAQ24USB-4CH	CS5523	ND227	50.0	64		Low
DAQ24USB-4CH	CS5523	ND228	60.0	64		Low
DAQ24USB-4CH	CS5523	ND229	100		64		Low
DAQ24USB-4CH	CS5523	ND230	120		64		Low
DAQ24USB-4CH	CS5523	ND231	200		64		Low
DAQ24USB-4CH	CS5523	ND232	240		64		Low
DAQ24USB-4CH	CS5523	ND233	400		64		Low
DAQ24USB-4CH	CS5523	ND234	480		64		Low
DAQ24USB-4CH	CS5523	ND235	800		64		Low
DAQ24USB-4CH	CS5523	ND236	960		64		Low
DAQ24USB-4CH	CS5523	ND237	1600	64		Low
DAQ24USB-4CH	CS5523	ND238	1920	64		Low
DAQ24USB-4CH	CS5523	ND239	3200	64		Low
DAQ24USB-4CH	CS5523	ND240	3840	64		Low

DAQ24USB-4CH	CS5523	ND381	6.25	1		High
DAQ24USB-4CH	CS5523	ND382	7.50	1		High
DAQ24USB-4CH	CS5523	ND383	12.5	1		High
DAQ24USB-4CH	CS5523	ND384	15.0	1		High
DAQ24USB-4CH	CS5523	ND385	25.0	1		High
DAQ24USB-4CH	CS5523	ND386	30.0	1		High
DAQ24USB-4CH	CS5523	ND387	50.0	1		High
DAQ24USB-4CH	CS5523	ND388	60.0	1		High
DAQ24USB-4CH	CS5523	ND389	100		1		High
DAQ24USB-4CH	CS5523	ND390	120		1		High
DAQ24USB-4CH	CS5523	ND391	200		1		High
DAQ24USB-4CH	CS5523	ND392	240		1		High
DAQ24USB-4CH	CS5523	ND393	400		1		High
DAQ24USB-4CH	CS5523	ND394	480		1		High
DAQ24USB-4CH	CS5523	ND395	800		1		High
DAQ24USB-4CH	CS5523	ND396	960		1		High
DAQ24USB-4CH	CS5523	ND397	1600	1		High
DAQ24USB-4CH	CS5523	ND398	1920	1		High
DAQ24USB-4CH	CS5523	ND399	3200	1		High
DAQ24USB-4CH	CS5523	ND400	3840	1		High

DAQ24USB-4CH	CS5523	ND401	6.25	2		High
DAQ24USB-4CH	CS5523	ND402	7.50	2		High
DAQ24USB-4CH	CS5523	ND403	12.5	2		High
DAQ24USB-4CH	CS5523	ND404	15.0	2		High
DAQ24USB-4CH	CS5523	ND405	25.0	2		High
DAQ24USB-4CH	CS5523	ND406	30.0	2		High
DAQ24USB-4CH	CS5523	ND407	50.0	2		High
DAQ24USB-4CH	CS5523	ND408	60.0	2		High
DAQ24USB-4CH	CS5523	ND409	100		2		High
DAQ24USB-4CH	CS5523	ND410	120		2		High
DAQ24USB-4CH	CS5523	ND411	200		2		High
DAQ24USB-4CH	CS5523	ND412	240		2		High
DAQ24USB-4CH	CS5523	ND413	400		2		High
DAQ24USB-4CH	CS5523	ND414	480		2		High
DAQ24USB-4CH	CS5523	ND415	800		2		High
DAQ24USB-4CH	CS5523	ND416	960		2		High
DAQ24USB-4CH	CS5523	ND417	1600	2		High
DAQ24USB-4CH	CS5523	ND418	1920	2		High
DAQ24USB-4CH	CS5523	ND419	3200	2		High
DAQ24USB-4CH	CS5523	ND420	3840	2		High

DAQ24USB-4CH	CS5523	ND421	6.25	4		High
DAQ24USB-4CH	CS5523	ND422	7.50	4		High
DAQ24USB-4CH	CS5523	ND423	12.5	4		High
DAQ24USB-4CH	CS5523	ND424	15.0	4		High
DAQ24USB-4CH	CS5523	ND425	25.0	4		High
DAQ24USB-4CH	CS5523	ND426	30.0	4		High
DAQ24USB-4CH	CS5523	ND427	50.0	4		High
DAQ24USB-4CH	CS5523	ND428	60.0	4		High
DAQ24USB-4CH	CS5523	ND429	100		4		High
DAQ24USB-4CH	CS5523	ND430	120		4		High
DAQ24USB-4CH	CS5523	ND431	200		4		High
DAQ24USB-4CH	CS5523	ND432	240		4		High
DAQ24USB-4CH	CS5523	ND433	400		4		High
DAQ24USB-4CH	CS5523	ND434	480		4		High
DAQ24USB-4CH	CS5523	ND435	800		4		High
DAQ24USB-4CH	CS5523	ND436	960		4		High
DAQ24USB-4CH	CS5523	ND437	1600	4		High
DAQ24USB-4CH	CS5523	ND438	1920	4		High
DAQ24USB-4CH	CS5523	ND439	3200	4		High
DAQ24USB-4CH	CS5523	ND440	3840	4		High

DAQ24USB-4CH	CS5523	ND441	6.25	8		High
DAQ24USB-4CH	CS5523	ND442	7.50	8		High
DAQ24USB-4CH	CS5523	ND443	12.5	8		High
DAQ24USB-4CH	CS5523	ND444	15.0	8		High
DAQ24USB-4CH	CS5523	ND445	25.0	8		High
DAQ24USB-4CH	CS5523	ND446	30.0	8		High
DAQ24USB-4CH	CS5523	ND447	50.0	8		High
DAQ24USB-4CH	CS5523	ND448	60.0	8		High
DAQ24USB-4CH	CS5523	ND449	100		8		High
DAQ24USB-4CH	CS5523	ND450	120		8		High
DAQ24USB-4CH	CS5523	ND451	200		8		High
DAQ24USB-4CH	CS5523	ND452	240		8		High
DAQ24USB-4CH	CS5523	ND453	400		8		High
DAQ24USB-4CH	CS5523	ND454	480		8		High
DAQ24USB-4CH	CS5523	ND455	800		8		High
